ID	Ontology Source	Term	GOLevels	GOGroups	Nr. Genes	% Associated Genes	Term PValue	Term PValue Corrected with Bonferroni step down	Group PValue	Group PValue Corrected with Bonferroni step down	Associated Genes Found	All Associated Genes	OverViewTerm
R-HSA:1214188	REACTOME_Reactions_25.05.2022	PRDM9 trimethylates histone H3	[-1]	[Group13]	4	6.557377	0.009335141694197897	0.5134327931808843	{Group13=1.390901861816456E-5}	{Group13=1.5299920479981016E-4}	[H4C2, H4C3, H4C5, H4C8]	[H2AB1, H2AC14, H2AC18, H2AC19, H2AC20, H2AC4, H2AC6, H2AC7, H2AC8, H2AJ, H2AX, H2AZ1, H2AZ2, H2BC1, H2BC10, H2BC11, H2BC12, H2BC13, H2BC14, H2BC15, H2BC17, H2BC21, H2BC3, H2BC4, H2BC5, H2BC6, H2BC7, H2BC8, H2BC9, H2BU1, H3-3A, H3-3B, H3C1, H3C10, H3C11, H3C12, H3C13, H3C14, H3C15, H3C2, H3C3, H3C4, H3C6, H3C7, H3C8, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, LOC102724334, PRDM9]	FALSE
R-HSA:1221632	REACTOME_Pathways_25.05.2022	Meiotic synapsis	[-1]	[Group13]	6	7.594937	6.96387073276597E-4	0.07590619098714907	{Group13=1.390901861816456E-5}	{Group13=1.5299920479981016E-4}	[H4C2, H4C3, H4C5, H4C8, STAG1, STAG3]	[ACD, ATR, BRCA1, DIDO1, FKBP6, H2AB1, H2AC14, H2AC18, H2AC19, H2AC20, H2AC4, H2AC6, H2AC7, H2AC8, H2AJ, H2AX, H2AZ1, H2AZ2, H2BC1, H2BC10, H2BC11, H2BC12, H2BC13, H2BC14, H2BC15, H2BC17, H2BC21, H2BC3, H2BC4, H2BC5, H2BC6, H2BC7, H2BC8, H2BC9, H2BU1, H3-4, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, HSPA2, LMNA, LMNB1, LOC102724334, POT1, RAD21, REC8, SMC1A, SMC1B, SMC3, STAG1, STAG2, STAG3, SUN1, SUN2, SYCE1, SYCE2, SYCE3, SYCP1, SYCP2, SYCP3, SYNE1, SYNE2, TERF1, TERF2, TERF2IP, TEX12, TINF2, UBE2I]	FALSE
R-HSA:1474165	REACTOME_Pathways_25.05.2022	Reproduction	[-1]	[Group13]	6	4.195804	0.013204763864315718	0.5942143738942073	{Group13=1.390901861816456E-5}	{Group13=1.5299920479981016E-4}	[H4C2, H4C3, H4C5, H4C8, STAG1, STAG3]	[ACD, ACR, ADAM2, ADAM20, ADAM21, ADAM30, ATM, ATR, B4GALT1, BLM, BRCA1, BRCA2, CATSPER1, CATSPER2, CATSPER3, CATSPER4, CATSPERB, CATSPERD, CATSPERG, CD9, CDK2, CDK4, DIDO1, DMC1, FKBP6, H2AB1, H2AC14, H2AC18, H2AC19, H2AC20, H2AC4, H2AC6, H2AC7, H2AC8, H2AJ, H2AX, H2AZ1, H2AZ2, H2BC1, H2BC10, H2BC11, H2BC12, H2BC13, H2BC14, H2BC15, H2BC17, H2BC21, H2BC3, H2BC4, H2BC5, H2BC6, H2BC7, H2BC8, H2BC9, H2BU1, H3-3A, H3-3B, H3-4, H3C1, H3C10, H3C11, H3C12, H3C13, H3C14, H3C15, H3C2, H3C3, H3C4, H3C6, H3C7, H3C8, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, HSPA2, HVCN1, IZUMO1, IZUMO2, IZUMO4, KCNU1, LMNA, LMNB1, LOC102724334, MLH1, MLH3, MND1, MRE11, MSH4, MSH5, NBN, OVGP1, POT1, PRDM9, PSMC3IP, RAD21, RAD50, RAD51, RAD51C, RBBP8, REC8, RPA1, RPA2, RPA3, SMC1A, SMC1B, SMC3, SPAM1, SPO11, STAG1, STAG2, STAG3, SUN1, SUN2, SYCE1, SYCE2, SYCE3, SYCP1, SYCP2, SYCP3, SYNE1, SYNE2, TERF1, TERF2, TERF2IP, TEX12, TINF2, TOP3A, UBE2I, ZP1, ZP2, ZP3, ZP4]	FALSE
R-HSA:1500620	REACTOME_Pathways_25.05.2022	Meiosis	[-1]	[Group13]	6	5.084746	0.005361716830773991	0.3860436118157274	{Group13=1.390901861816456E-5}	{Group13=1.5299920479981016E-4}	[H4C2, H4C3, H4C5, H4C8, STAG1, STAG3]	[ACD, ATM, ATR, BLM, BRCA1, BRCA2, CDK2, CDK4, DIDO1, DMC1, FKBP6, H2AB1, H2AC14, H2AC18, H2AC19, H2AC20, H2AC4, H2AC6, H2AC7, H2AC8, H2AJ, H2AX, H2AZ1, H2AZ2, H2BC1, H2BC10, H2BC11, H2BC12, H2BC13, H2BC14, H2BC15, H2BC17, H2BC21, H2BC3, H2BC4, H2BC5, H2BC6, H2BC7, H2BC8, H2BC9, H2BU1, H3-3A, H3-3B, H3-4, H3C1, H3C10, H3C11, H3C12, H3C13, H3C14, H3C15, H3C2, H3C3, H3C4, H3C6, H3C7, H3C8, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, HSPA2, LMNA, LMNB1, LOC102724334, MLH1, MLH3, MND1, MRE11, MSH4, MSH5, NBN, POT1, PRDM9, PSMC3IP, RAD21, RAD50, RAD51, RAD51C, RBBP8, REC8, RPA1, RPA2, RPA3, SMC1A, SMC1B, SMC3, SPO11, STAG1, STAG2, STAG3, SUN1, SUN2, SYCE1, SYCE2, SYCE3, SYCP1, SYCP2, SYCP3, SYNE1, SYNE2, TERF1, TERF2, TERF2IP, TEX12, TINF2, TOP3A, UBE2I]	FALSE
R-HSA:156842	REACTOME_Pathways_25.05.2022	Eukaryotic Translation Elongation	[-1]	[Group10]	4	4.3010755	0.03754432961190655	0.33789896650715895	{Group10=0.03754432961190655}	{Group10=0.0750886592238131}	[EEF1A1, RPL35, RPL41, RPS3A]	[EEF1A1, EEF1A2, EEF1B2, EEF1D, EEF1G, EEF2, RPL10, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL36A, RPL36AL, RPL37, RPL37A, RPL38, RPL39, RPL39L, RPL3L, RPL4, RPL41, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS17, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS27L, RPS28, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS4Y2, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, UBA52]	TRUE
R-HSA:156902	REACTOME_Pathways_25.05.2022	Peptide chain elongation	[-1]	[Group10]	4	4.494382	0.032709858981441076	0.425228166758734	{Group10=0.03754432961190655}	{Group10=0.0750886592238131}	[EEF1A1, RPL35, RPL41, RPS3A]	[EEF1A1, EEF2, RPL10, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL36A, RPL36AL, RPL37, RPL37A, RPL38, RPL39, RPL39L, RPL3L, RPL4, RPL41, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS17, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS27L, RPS28, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS4Y2, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, UBA52]	FALSE
R-HSA:156907	REACTOME_Reactions_25.05.2022	Aminoacyl-tRNA  binds to the ribosome at the A-site	[-1]	[Group10]	4	4.5454545	0.03156187933468475	0.44186631068558657	{Group10=0.03754432961190655}	{Group10=0.0750886592238131}	[EEF1A1, RPL35, RPL41, RPS3A]	[EEF1A1, RPL10, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL36A, RPL36AL, RPL37, RPL37A, RPL38, RPL39, RPL39L, RPL3L, RPL4, RPL41, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS17, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS27L, RPS28, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS4Y2, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, UBA52]	FALSE
R-HSA:156915	REACTOME_Reactions_25.05.2022	Translocation of ribosome by 3 bases in the 3' direction	[-1]	[Group10]	4	4.494382	0.032709858981441076	0.425228166758734	{Group10=0.03754432961190655}	{Group10=0.0750886592238131}	[EEF1A1, RPL35, RPL41, RPS3A]	[EEF1A1, EEF2, RPL10, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL36A, RPL36AL, RPL37, RPL37A, RPL38, RPL39, RPL39L, RPL3L, RPL4, RPL41, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS17, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS27L, RPS28, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS4Y2, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, UBA52]	FALSE
R-HSA:156923	REACTOME_Reactions_25.05.2022	Hydrolysis of eEF1A:GTP	[-1]	[Group10]	4	4.5454545	0.03156187933468475	0.44186631068558657	{Group10=0.03754432961190655}	{Group10=0.0750886592238131}	[EEF1A1, RPL35, RPL41, RPS3A]	[EEF1A1, RPL10, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL36A, RPL36AL, RPL37, RPL37A, RPL38, RPL39, RPL39L, RPL3L, RPL4, RPL41, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS17, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS27L, RPS28, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS4Y2, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, UBA52]	FALSE
R-HSA:157579	REACTOME_Pathways_25.05.2022	Telomere Maintenance	[-1]	[Group13]	5	4.424779	0.01874057137551833	0.5809577126410682	{Group13=1.390901861816456E-5}	{Group13=1.5299920479981016E-4}	[H4C2, H4C3, H4C5, H4C8, RUVBL1]	[ACD, ANKRD28, ATRX, BLM, CCNA1, CCNA2, CDK2, CHTF18, CHTF8, CTC1, DAXX, DKC1, DNA2, DSCC1, FEN1, GAR1, H2AB1, H2AC14, H2AC18, H2AC19, H2AC20, H2AC4, H2AC6, H2AC7, H2AC8, H2AJ, H2AX, H2AZ1, H2AZ2, H2BC1, H2BC10, H2BC11, H2BC12, H2BC13, H2BC14, H2BC15, H2BC17, H2BC21, H2BC3, H2BC4, H2BC5, H2BC6, H2BC7, H2BC8, H2BC9, H2BU1, H3-3A, H3-3B, H3-4, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, LIG1, LOC102724334, NHP2, NOP10, PCNA, PIF1, POLA1, POLA2, POLD1, POLD2, POLD3, POLD4, POLR2A, POLR2B, POLR2C, POLR2D, POLR2E, POLR2F, POLR2G, POLR2H, POLR2I, POLR2J, POLR2K, POLR2L, POT1, PPP6C, PPP6R3, PRIM1, PRIM2, RFC1, RFC2, RFC3, RFC4, RFC5, RPA1, RPA2, RPA3, RTEL1, RUVBL1, RUVBL2, SHQ1, STN1, TEN1, TERF1, TERF2, TERF2IP, TERT, TINF2, WRAP53, WRN]	FALSE
