NAME	regulation of cyclin-dependent protein serine/threonine kinase activity	chromosome, centromeric region	nucleosome	protein kinase inhibitor activity	nucleosome assembly	DNA replication-dependent chromatin assembly	DNA replication-independent chromatin assembly	membrane protein ectodomain proteolysis	sister chromatid cohesion	intrinsic apoptotic signaling pathway in response to DNA damage	positive regulation of endothelial cell migration	positive regulation of histone modification	positive regulation of histone deacetylation	positive regulation of protein ubiquitination	chromatin assembly	heterochromatin assembly	ubiquitin conjugating enzyme binding	protein localization to chromosome	nucleosome organization	vascular endothelial growth factor signaling pathway	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	CENP-A containing nucleosome	regulation of blood vessel endothelial cell migration	positive regulation of blood vessel endothelial cell migration	establishment or maintenance of epithelial cell apical/basal polarity	protein phosphorylated amino acid binding	negative regulation of myeloid cell differentiation	positive regulation of cyclin-dependent protein serine/threonine kinase activity	phosphoprotein binding	positive regulation of ubiquitin-protein transferase activity	cellular response to acid chemical	integral component of lumenal side of endoplasmic reticulum membrane	regulation of protein deacetylation	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage	regulation of intrinsic apoptotic signaling pathway
chromatin assembly	-0.14806378132118458	0.2589792060491496	0.4449339207048459	0.009433962264150855	0.7107438016528927	0.4056603773584904	0.4897494305239181	-0.0953545232273839	-0.12264150943396229	-0.020501138952163704	-0.14806378132118458	0.23462414578587712	0.04156479217603944	0.07488986784140989	1.0	0.4897494305239181	-0.0953545232273839	0.32158590308370044	0.6186770428015566	-0.0953545232273839	0.04156479217603944	0.4056603773584904	-0.14806378132118458	-0.0953545232273839	0.009433962264150855	-0.0953545232273839	0.3621867881548975	-0.0953545232273839	-0.17180616740088064	-0.0953545232273839	0.009433962264150855	-0.0953545232273839	0.009433962264150855	0.009433962264150855	-0.09917355371900842
heterochromatin assembly	-0.098039215686274	0.0025445292620868204	-0.1079136690647488	-0.08620689655172405	0.04938271604938329	-0.08620689655172405	-0.098039215686274	-0.07177033492823	-0.08620689655172405	0.12156862745098135	-0.098039215686274	0.5607843137254906	0.1961722488038281	0.09352517985611514	0.4897494305239181	1.0	-0.07177033492823	-0.1079136690647488	0.016216216216216293	-0.07177033492823	0.1961722488038281	-0.08620689655172405	-0.098039215686274	-0.07177033492823	0.15517241379310406	-0.07177033492823	-0.098039215686274	-0.07177033492823	-0.1079136690647488	-0.07177033492823	0.15517241379310406	-0.07177033492823	0.15517241379310406	0.15517241379310406	0.04938271604938329
ubiquitin conjugating enzyme binding	-0.07177033492823	-0.09192200557103111	-0.07692307692307733	-0.06521739130434816	-0.08450704225352157	-0.06521739130434816	-0.07177033492823	-0.056603773584907126	-0.06521739130434816	-0.07177033492823	-0.07177033492823	-0.07177033492823	-0.056603773584907126	0.40170940170940134	-0.0953545232273839	-0.07177033492823	1.0	-0.07692307692307733	-0.08982035928143761	-0.056603773584907126	-0.056603773584907126	-0.06521739130434816	-0.07177033492823	-0.056603773584907126	-0.06521739130434816	-0.056603773584907126	-0.07177033492823	-0.056603773584907126	-0.07692307692307733	0.6477987421383643	-0.06521739130434816	-0.056603773584907126	-0.06521739130434816	-0.06521739130434816	-0.08450704225352157
protein localization to chromosome	-0.1079136690647488	0.6585365853658536	0.6266666666666663	-0.09374999999999972	0.5116279069767443	0.7812499999999999	0.6978417266187047	-0.07692307692307733	0.3437499999999999	-0.1079136690647488	-0.1079136690647488	-0.1079136690647488	-0.07692307692307733	-0.11999999999999998	0.32158590308370044	-0.1079136690647488	-0.07692307692307733	1.0	0.42268041237113413	-0.07692307692307733	-0.07692307692307733	0.7812499999999999	-0.1079136690647488	-0.07692307692307733	-0.09374999999999972	-0.07692307692307733	0.6978417266187047	-0.07692307692307733	-0.11999999999999998	-0.07692307692307733	-0.09374999999999972	-0.07692307692307733	-0.09374999999999972	-0.09374999999999972	-0.13953488372092926
nucleosome organization	-0.13513513513513548	0.23849372384937237	0.7113402061855668	0.045454545454545525	0.8679245283018865	0.5227272727272727	0.47027027027026996	-0.08982035928143761	-0.11363636363636351	-0.13513513513513548	-0.13513513513513548	-0.13513513513513548	-0.08982035928143761	-0.010309278350514909	0.6186770428015566	0.016216216216216293	-0.08982035928143761	0.42268041237113413	1.0	-0.08982035928143761	-0.08982035928143761	0.5227272727272727	-0.13513513513513548	-0.08982035928143761	-0.11363636363636351	-0.08982035928143761	0.47027027027026996	-0.08982035928143761	-0.15463917525773177	-0.08982035928143761	-0.11363636363636351	-0.08982035928143761	-0.11363636363636351	-0.11363636363636351	-0.18867924528301866
vascular endothelial growth factor signaling pathway	0.1961722488038281	-0.09192200557103111	-0.07692307692307733	-0.06521739130434816	-0.08450704225352157	-0.06521739130434816	-0.07177033492823	-0.056603773584907126	-0.06521739130434816	-0.07177033492823	0.7320574162679427	0.1961722488038281	0.2955974842767301	-0.07692307692307733	-0.0953545232273839	-0.07177033492823	-0.056603773584907126	-0.07692307692307733	-0.08982035928143761	1.0	-0.056603773584907126	-0.06521739130434816	0.1961722488038281	0.2955974842767301	-0.06521739130434816	-0.056603773584907126	-0.07177033492823	0.2955974842767301	0.16239316239316262	-0.056603773584907126	0.23913043478260856	0.2955974842767301	0.23913043478260856	-0.06521739130434816	-0.08450704225352157
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	-0.07177033492823	-0.09192200557103111	-0.07692307692307733	-0.06521739130434816	-0.08450704225352157	-0.06521739130434816	-0.07177033492823	-0.056603773584907126	-0.06521739130434816	0.7320574162679427	-0.07177033492823	0.46411483253588454	0.2955974842767301	0.16239316239316262	0.04156479217603944	0.1961722488038281	-0.056603773584907126	-0.07692307692307733	-0.08982035928143761	-0.056603773584907126	1.0	-0.06521739130434816	-0.07177033492823	-0.056603773584907126	-0.06521739130434816	-0.056603773584907126	-0.07177033492823	-0.056603773584907126	-0.07692307692307733	-0.056603773584907126	-0.06521739130434816	-0.056603773584907126	0.23913043478260856	0.8478260869565221	0.5070422535211266
CENP-A containing nucleosome	-0.08620689655172405	0.4787234042553189	0.7812499999999999	-0.07692307692307608	0.6315789473684208	1.0	0.8793103448275859	-0.06521739130434816	-0.07692307692307608	-0.08620689655172405	-0.08620689655172405	-0.08620689655172405	-0.06521739130434816	-0.09374999999999972	0.4056603773584904	-0.08620689655172405	-0.06521739130434816	0.7812499999999999	0.5227272727272727	-0.06521739130434816	-0.06521739130434816	1.0	-0.08620689655172405	-0.06521739130434816	-0.07692307692307608	-0.06521739130434816	0.8793103448275859	-0.06521739130434816	-0.09374999999999972	-0.06521739130434816	-0.07692307692307608	-0.06521739130434816	-0.07692307692307608	-0.07692307692307608	-0.10526315789473696
regulation of blood vessel endothelial cell migration	0.12156862745098135	-0.13994910941475835	-0.1079136690647488	-0.08620689655172405	-0.12345679012345727	-0.08620689655172405	-0.098039215686274	-0.07177033492823	-0.08620689655172405	-0.098039215686274	0.5607843137254906	0.12156862745098135	0.1961722488038281	-0.1079136690647488	-0.14806378132118458	-0.098039215686274	-0.07177033492823	-0.1079136690647488	-0.13513513513513548	0.1961722488038281	-0.07177033492823	-0.08620689655172405	1.0	0.7320574162679427	0.15517241379310406	-0.07177033492823	-0.098039215686274	0.1961722488038281	0.09352517985611514	-0.07177033492823	0.15517241379310406	0.1961722488038281	0.15517241379310406	-0.08620689655172405	-0.12345679012345727
positive regulation of blood vessel endothelial cell migration	0.1961722488038281	-0.09192200557103111	-0.07692307692307733	-0.06521739130434816	-0.08450704225352157	-0.06521739130434816	-0.07177033492823	-0.056603773584907126	-0.06521739130434816	-0.07177033492823	0.7320574162679427	0.1961722488038281	0.2955974842767301	-0.07692307692307733	-0.0953545232273839	-0.07177033492823	-0.056603773584907126	-0.07692307692307733	-0.08982035928143761	0.2955974842767301	-0.056603773584907126	-0.06521739130434816	0.7320574162679427	1.0	-0.06521739130434816	-0.056603773584907126	-0.07177033492823	0.2955974842767301	0.16239316239316262	-0.056603773584907126	0.23913043478260856	0.2955974842767301	0.23913043478260856	-0.06521739130434816	-0.08450704225352157
establishment or maintenance of epithelial cell apical/basal polarity	-0.08620689655172405	-0.11702127659574442	-0.09374999999999972	-0.07692307692307608	-0.10526315789473696	-0.07692307692307608	-0.08620689655172405	-0.06521739130434816	-0.07692307692307608	-0.08620689655172405	-0.08620689655172405	-0.08620689655172405	-0.06521739130434816	-0.09374999999999972	0.009433962264150855	0.15517241379310406	-0.06521739130434816	-0.09374999999999972	-0.11363636363636351	-0.06521739130434816	-0.06521739130434816	-0.07692307692307608	0.15517241379310406	-0.06521739130434816	1.0	-0.06521739130434816	-0.08620689655172405	-0.06521739130434816	-0.09374999999999972	-0.06521739130434816	-0.07692307692307608	-0.06521739130434816	-0.07692307692307608	-0.07692307692307608	-0.10526315789473696
protein phosphorylated amino acid binding	-0.07177033492823	-0.09192200557103111	-0.07692307692307733	-0.06521739130434816	-0.08450704225352157	-0.06521739130434816	-0.07177033492823	0.2955974842767301	-0.06521739130434816	-0.07177033492823	-0.07177033492823	-0.07177033492823	-0.056603773584907126	0.16239316239316262	-0.0953545232273839	-0.07177033492823	-0.056603773584907126	-0.07692307692307733	-0.08982035928143761	-0.056603773584907126	-0.056603773584907126	-0.06521739130434816	-0.07177033492823	-0.056603773584907126	-0.06521739130434816	1.0	-0.07177033492823	-0.056603773584907126	0.6410256410256411	0.2955974842767301	-0.06521739130434816	-0.056603773584907126	-0.06521739130434816	-0.06521739130434816	0.1126760563380283
negative regulation of myeloid cell differentiation	-0.098039215686274	0.4300254452926206	0.6978417266187047	-0.08620689655172405	0.5679012345679011	0.8793103448275859	0.780392156862745	-0.07177033492823	-0.08620689655172405	-0.098039215686274	-0.098039215686274	-0.098039215686274	-0.07177033492823	-0.1079136690647488	0.3621867881548975	-0.098039215686274	-0.07177033492823	0.6978417266187047	0.47027027027026996	-0.07177033492823	-0.07177033492823	0.8793103448275859	-0.098039215686274	-0.07177033492823	-0.08620689655172405	-0.07177033492823	1.0	-0.07177033492823	0.09352517985611514	-0.07177033492823	-0.08620689655172405	-0.07177033492823	-0.08620689655172405	-0.08620689655172405	-0.12345679012345727
positive regulation of cyclin-dependent protein serine/threonine kinase activity	0.7320574162679427	-0.09192200557103111	-0.07692307692307733	-0.06521739130434816	-0.08450704225352157	-0.06521739130434816	-0.07177033492823	-0.056603773584907126	-0.06521739130434816	-0.07177033492823	0.1961722488038281	0.1961722488038281	0.2955974842767301	-0.07692307692307733	-0.0953545232273839	-0.07177033492823	-0.056603773584907126	-0.07692307692307733	-0.08982035928143761	0.2955974842767301	-0.056603773584907126	-0.06521739130434816	0.1961722488038281	0.2955974842767301	-0.06521739130434816	-0.056603773584907126	-0.07177033492823	1.0	0.16239316239316262	-0.056603773584907126	0.23913043478260856	0.2955974842767301	0.23913043478260856	-0.06521739130434816	-0.08450704225352157
phosphoprotein binding	0.09352517985611514	-0.16097560975609695	-0.11999999999999998	-0.09374999999999972	-0.13953488372092926	-0.09374999999999972	-0.1079136690647488	0.16239316239316262	-0.09374999999999972	-0.1079136690647488	0.09352517985611514	0.09352517985611514	0.16239316239316262	0.06666666666666662	-0.17180616740088064	-0.1079136690647488	-0.07692307692307733	-0.11999999999999998	-0.15463917525773177	0.16239316239316262	-0.07692307692307733	-0.09374999999999972	0.09352517985611514	0.16239316239316262	-0.09374999999999972	0.6410256410256411	0.09352517985611514	0.16239316239316262	1.0	0.16239316239316262	0.12499999999999957	0.16239316239316262	0.12499999999999957	-0.09374999999999972	0.023255813953488656
positive regulation of ubiquitin-protein transferase activity	-0.07177033492823	-0.09192200557103111	-0.07692307692307733	-0.06521739130434816	-0.08450704225352157	-0.06521739130434816	-0.07177033492823	-0.056603773584907126	-0.06521739130434816	-0.07177033492823	-0.07177033492823	-0.07177033492823	-0.056603773584907126	0.6410256410256411	-0.0953545232273839	-0.07177033492823	0.6477987421383643	-0.07692307692307733	-0.08982035928143761	-0.056603773584907126	-0.056603773584907126	-0.06521739130434816	-0.07177033492823	-0.056603773584907126	-0.06521739130434816	0.2955974842767301	-0.07177033492823	-0.056603773584907126	0.16239316239316262	1.0	-0.06521739130434816	-0.056603773584907126	-0.06521739130434816	-0.06521739130434816	-0.08450704225352157
cellular response to acid chemical	0.15517241379310406	0.03191489361702098	-0.09374999999999972	-0.07692307692307608	-0.10526315789473696	-0.07692307692307608	-0.08620689655172405	-0.06521739130434816	-0.07692307692307608	-0.08620689655172405	0.15517241379310406	0.39655172413793094	0.23913043478260856	-0.09374999999999972	0.009433962264150855	0.15517241379310406	-0.06521739130434816	-0.09374999999999972	-0.11363636363636351	0.23913043478260856	-0.06521739130434816	-0.07692307692307608	0.15517241379310406	0.23913043478260856	-0.07692307692307608	-0.06521739130434816	-0.08620689655172405	0.23913043478260856	0.12499999999999957	-0.06521739130434816	1.0	0.23913043478260856	0.19230769230769287	-0.07692307692307608	0.07894736842105247
integral component of lumenal side of endoplasmic reticulum membrane	0.1961722488038281	-0.09192200557103111	-0.07692307692307733	-0.06521739130434816	-0.08450704225352157	-0.06521739130434816	-0.07177033492823	-0.056603773584907126	-0.06521739130434816	-0.07177033492823	0.1961722488038281	0.1961722488038281	0.2955974842767301	-0.07692307692307733	-0.0953545232273839	-0.07177033492823	-0.056603773584907126	-0.07692307692307733	-0.08982035928143761	0.2955974842767301	-0.056603773584907126	-0.06521739130434816	0.1961722488038281	0.2955974842767301	-0.06521739130434816	-0.056603773584907126	-0.07177033492823	0.2955974842767301	0.16239316239316262	-0.056603773584907126	0.23913043478260856	1.0	0.23913043478260856	-0.06521739130434816	-0.08450704225352157
regulation of protein deacetylation	0.15517241379310406	-0.11702127659574442	-0.09374999999999972	-0.07692307692307608	-0.10526315789473696	-0.07692307692307608	-0.08620689655172405	-0.06521739130434816	-0.07692307692307608	0.15517241379310406	0.15517241379310406	0.6379310344827589	0.8478260869565221	-0.09374999999999972	0.009433962264150855	0.15517241379310406	-0.06521739130434816	-0.09374999999999972	-0.11363636363636351	0.23913043478260856	0.23913043478260856	-0.07692307692307608	0.15517241379310406	0.23913043478260856	-0.07692307692307608	-0.06521739130434816	-0.08620689655172405	0.23913043478260856	0.12499999999999957	-0.06521739130434816	0.19230769230769287	0.23913043478260856	1.0	0.19230769230769287	0.07894736842105247
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage	0.15517241379310406	-0.11702127659574442	-0.09374999999999972	0.19230769230769287	-0.10526315789473696	-0.07692307692307608	-0.08620689655172405	-0.06521739130434816	-0.07692307692307608	0.8793103448275859	-0.08620689655172405	0.39655172413793094	0.23913043478260856	0.12499999999999957	0.009433962264150855	0.15517241379310406	-0.06521739130434816	-0.09374999999999972	-0.11363636363636351	-0.06521739130434816	0.8478260869565221	-0.07692307692307608	-0.08620689655172405	-0.06521739130434816	-0.07692307692307608	-0.06521739130434816	-0.08620689655172405	-0.06521739130434816	-0.09374999999999972	-0.06521739130434816	-0.07692307692307608	-0.06521739130434816	0.19230769230769287	1.0	0.6315789473684208
regulation of intrinsic apoptotic signaling pathway	0.04938271604938329	-0.19819819819819823	-0.13953488372092926	0.07894736842105247	-0.16666666666666743	-0.10526315789473696	-0.12345679012345727	-0.08450704225352157	-0.10526315789473696	0.5679012345679011	-0.12345679012345727	0.2222222222222222	0.1126760563380283	0.023255813953488656	-0.09917355371900842	0.04938271604938329	-0.08450704225352157	-0.13953488372092926	-0.18867924528301866	-0.08450704225352157	0.5070422535211266	-0.10526315789473696	-0.12345679012345727	-0.08450704225352157	-0.10526315789473696	0.1126760563380283	-0.12345679012345727	-0.08450704225352157	0.023255813953488656	-0.08450704225352157	0.07894736842105247	-0.08450704225352157	0.07894736842105247	0.6315789473684208	1.0
