Gene ID	NCD1	NCD2	NCD3	NCD4	NCD5	NCD6	1442 ETV6	1874 ETV6	3399 Phlike	3701 ETV6	4353 phlike	4370 ETV6	4395 ETV6	4894 Phlike	BALL10 ETV6
LOC124904137	-0.584227048	-0.791823246	-0.267391373	-0.624743764	-0.834757175	-1.446848246	1.012867769	-0.078136397	1.770301366	-0.127991089	-0.062806147	1.422499439	1.710550945	-0.693083683	-0.404411352
LOC124904143	-0.359894953	-1.07850824	-0.233284396	-0.591583758	-0.916872462	-1.341074089	0.964053255	-0.05441154	1.777726412	-0.08387007	-0.219565026	1.423788184	1.713626736	-0.661364284	-0.338765769
TNFRSF1B	-0.475748767	-1.062928336	-0.110498784	-0.903919025	-1.155946475	-0.690928021	-0.666336359	0.633763052	1.578760894	-0.192186306	0.377330692	2.224890536	1.032996403	-0.67717305	0.087923546
FAM182A	-0.852451448	-0.679977222	-0.497539201	-1.040596201	-0.975835978	-0.790149371	2.212014816	-0.208095229	0.97951046	-0.515349673	-0.213150735	0.96959934	1.595297892	-0.31719165	0.333914199
FAM182B	-0.797917835	-0.658472786	-0.57257998	-1.005052416	-0.940646884	-0.86807132	2.207066206	-0.291479432	1.116925202	-0.560609008	-0.132324907	0.902275857	1.517288571	-0.344349376	0.427948109
LOC100132077	-0.646844585	-0.475098301	-0.788531305	-1.189373165	-0.632983905	-0.930520767	2.270856789	-0.350836839	0.846083221	-0.687577345	-0.218915511	0.799841346	1.563172198	-0.201626078	0.642354248
SH3TC2-DT	-0.519027959	-1.430543022	-0.576260486	-0.545380261	-1.156013528	-0.832612811	1.817502915	-0.29991429	0.988948645	-0.336247953	0.486231144	0.608303149	1.96803724	-0.238316355	0.065293573
ZNF782	-0.65592785	-0.782523321	-1.047862483	-0.849227862	-0.680686	-0.775890091	2.403334668	-0.187315886	0.795821118	-0.521310817	-0.292483681	0.554716954	1.535716365	-0.237140623	0.740779507
LIN7A	-0.692372005	-0.708509737	-1.087490509	-0.868581204	-0.714945224	-0.764208058	2.092703632	-0.517768412	0.521470343	-0.48091018	-0.23633634	0.750839044	1.947199854	0.118174676	0.640734121
LCK	-1.133172077	-1.236420488	-0.00047659	-0.468497307	-0.905101932	-1.216833986	1.940519437	0.389554147	0.729955114	-0.561244097	0.002488626	0.839902755	1.714274455	-0.403785819	0.308837761
LOC101928437	-0.452995964	-0.915227406	-0.775536768	-0.541699307	-1.049635052	-0.962446821	2.437105191	0.00695398	0.371048648	-0.225743805	-0.057133773	0.079362778	1.850032019	-0.354293667	0.590209947
RUBCNL	-0.849981603	-0.565367194	-0.765366206	-0.763606546	-0.974204075	-1.460118968	1.085221112	0.164411599	0.957521669	-0.467871817	-0.172093338	1.560249474	1.720876196	-0.36787062	0.898200316
MSH3	-1.001780751	-0.621555278	-0.062227754	-0.936836635	-0.837788077	-0.845129481	1.845035839	-0.44180481	1.629608627	-0.386611138	-0.53978957	1.637727071	0.815758647	-0.471249641	0.216642951
CNIH3	-0.319844458	-0.830344821	-0.876374744	-0.896691224	-0.876981954	-1.150639852	2.285052934	0.230854914	0.834359653	-0.052682904	-0.682282167	1.066760843	1.274921818	-0.41563454	0.4095265
KLHL4	-0.459985117	-0.768445109	-0.496008025	-0.969665074	-0.879190941	-1.049052212	2.290063358	-0.25339893	0.731443577	-0.243031029	-0.175349204	0.866256266	1.759385351	-0.561591048	0.208568138
TIMMDC1	-1.381268249	-1.250712759	-0.259240342	-1.317442703	-0.234937878	-0.80138942	1.643641634	0.002116078	0.384767659	0.66330424	-0.052613572	1.275076995	1.650432558	-0.569327274	0.247593034
MIPOL1	-0.525036446	-0.862483933	-1.132515098	-0.721051768	-1.067050262	-0.813290211	2.319493701	-0.54445016	0.83966966	-0.472571565	0.176291565	1.020737537	1.169081464	0.037012696	0.576162819
RFX1	-0.563198678	-0.685556645	-0.946602928	-0.742881962	-1.058177554	-1.054182384	2.359697603	-0.046720537	0.547188913	-0.287875916	0.144852368	0.978857701	1.437378192	-0.557420948	0.474642776
MAGI2	-0.632896984	-0.749960928	-0.704595079	-0.879489999	-1.081210332	-0.970947194	2.186412948	-0.089820437	0.866381026	-0.482837136	0.000521282	0.686898477	1.725896022	-0.397953004	0.523601339
CDH7	-0.859725894	-0.616574073	-1.106447106	-0.51942609	-0.750409388	-1.030433791	1.731546401	0.446728655	1.011448271	-0.357755184	-0.564544218	0.669400639	2.048187764	-0.523149023	0.421153037
EMILIN2	-1.966542342	-0.538693195	-0.641292163	-0.357144802	-0.928952506	-1.024831368	1.053850794	1.507055376	-0.292679352	0.586158781	0.086187327	1.337438777	0.29151736	1.251447227	-0.363519914
IGH	0.9089673	0.683234523	2.48947751	0.515691653	0.752521569	0.18810791	-0.322144011	-0.579099407	-0.382240376	-0.825716407	-0.175216278	0.094723513	-1.747473857	-0.808755425	-0.792078216
UNC79	1.673674453	1.100292126	1.095529987	0.938081522	1.040593796	-0.06287716	-0.950968168	-1.083166249	-1.677204416	0.488050635	-0.617124029	-0.838129522	-0.345949943	-0.064168708	-0.696634324
PLCE1	1.552303858	1.050961831	1.202978236	1.046850447	0.970105355	-0.161094541	-0.042199881	-0.459038121	-1.021354123	0.395647088	-0.795787751	-0.715928553	-0.054168136	-1.541474384	-1.427801325
HDAC9	1.44096352	1.481386386	0.597687844	1.30421478	1.135917375	-0.450559747	-0.327366883	-0.00132544	-0.834936719	0.200120199	-0.179053972	-0.612080745	-0.91183219	-1.258145662	-1.584988746
ATP10A	1.31857657	1.261469924	1.074585857	1.046235959	1.084543406	-0.067629037	-0.093921223	-0.095979373	-0.571979613	0.396559917	-0.541635858	-0.794252308	-0.825951383	-1.452125565	-1.738497274
ATP5MC3	1.191028805	1.007346356	1.102750391	1.030549328	1.211012469	-0.080561513	-0.171760379	-0.46286845	-0.479740729	0.544737875	-0.44494909	-0.798937996	-0.13218799	-1.692727434	-1.823691643
PROS1	1.55486086	0.920350493	0.866593362	1.118298724	1.111063405	0.03315947	0.044718588	-0.480987602	-1.212197095	0.760987234	-0.49647156	-0.724398413	-0.755435298	-1.12619352	-1.614348646
MED12L	1.470583765	1.170412198	1.259412777	0.74841928	0.983850029	0.595837358	-1.162963183	-0.85869255	-0.568042517	-0.45359495	0.122591576	-0.222588824	-0.330789416	-0.923030006	-1.831405535
WDR33	0.932583038	1.136420246	1.460222394	0.963118158	0.983242413	-0.017208507	-0.100749828	-0.448416324	-0.133226162	0.589706048	-0.610401405	-0.683687884	-0.599213864	-1.675434962	-1.79695336
RNY4	1.106597018	1.258184612	1.151129699	1.023704103	1.018187646	-0.051248266	-0.187179934	-0.352502807	-0.055186176	0.450793558	-0.402581329	-0.620904493	-0.85040811	-1.573186165	-1.915399357
CBR4	0.917921119	1.118121482	1.839927974	0.883209152	0.711302078	-0.034319332	-0.18561609	-0.442588621	-0.084040978	0.30081926	-0.598860083	-0.609979322	-0.345004862	-1.864923339	-1.605968439
FAM234B	0.893080395	0.82823812	2.385800834	0.381294093	0.75031617	0.337483812	-0.705970758	-0.734686658	-0.100234386	-0.684531833	-0.417471097	0.522270646	-0.981528409	-1.15216858	-1.321892349
LOC124904006	1.112667574	1.222486011	1.329470495	1.056391319	1.053116551	0.051347115	-0.304207998	-0.512630716	-0.086981362	0.497572617	-0.461367773	-1.111738448	-0.863225334	-1.589044707	-1.393855347
GCNT3	1.329029088	1.408259085	0.713282037	1.154520387	1.242227344	-0.047214052	-0.372776679	-0.168202006	-1.052694923	0.584978278	-0.463791099	-1.069741075	-0.627425918	-1.186627627	-1.44382284
CCNL1	0.942374338	1.207059262	1.389071583	0.992820364	1.006575279	0.039679226	-0.198808972	-0.463261162	0.084861282	0.346918616	-0.56105046	-0.567612752	-0.696170817	-1.666874168	-1.855581619
RXRB	0.985270256	1.223811151	1.350733391	0.999596164	1.018924068	0.045744582	-0.229592188	-0.458954468	0.092683207	0.30710005	-0.50589329	-0.59933242	-0.729511332	-1.634179795	-1.866399376
PARD3	1.110732166	1.640307426	0.766220497	1.280970656	1.17214064	0.033519822	-0.483133134	-0.425600097	-0.586993325	0.175237524	-0.047961518	-0.962202209	-0.899394398	-1.164799132	-1.609044919
NFYB	0.963389286	0.916393968	2.144984277	0.440472424	0.837748735	0.418671927	-1.070227194	-0.630038543	-0.400676911	-0.713827567	-0.321252618	0.735284058	-0.971402941	-1.176316998	-1.173201905
ZNF436-AS1	0.878861304	1.167376992	1.934169207	0.83805926	0.794519493	-0.011149956	-0.314858942	-0.34430373	0.028404618	-0.167031428	-0.317861032	-0.305291161	-0.846541134	-1.474978891	-1.859374599
CLK1	1.122690358	1.485415582	0.788073942	1.066638833	1.099619797	0.281862599	-0.367192517	-0.137526782	-0.466433	0.073089456	0.044463876	-0.992819893	-0.813508644	-1.150887784	-2.033485823
TICAM1	1.463588271	1.634554979	0.886154647	0.221200446	1.704377578	0.319644652	-1.042080064	-0.978048709	-0.753181775	-0.588883952	-1.100573137	-0.829166238	-0.335369176	-0.613921402	0.01170388
CIB2	2.215292772	-0.429521328	1.055502201	0.416512618	1.108940128	1.138803587	-0.917769545	-0.526509807	-0.489174499	-1.394936876	0.031691572	-0.77874869	-1.042663133	-0.292448473	-0.094970527
THSD1	0.932386885	1.12389395	2.087845855	0.937331623	0.776166396	-0.015492999	-0.527560297	-0.451728912	-0.163104891	0.184000846	-0.699778176	-0.604011943	-0.743972212	-1.252279533	-1.583696592
SIK3	1.208515969	1.591955314	0.633045393	1.243387142	1.183807103	0.060141483	-0.121234158	-0.331915226	-0.897957317	0.050292689	0.02375128	-1.079096796	-0.809706781	-1.149394709	-1.605591386
LOC124909441	1.021880539	1.057457963	1.102322852	0.836345671	1.460289546	0.772510728	-0.811141141	-0.994862585	-1.308933867	-1.244067555	0.149341169	-1.166294597	0.316438999	-0.380285444	-0.811002276
LOC101929532	1.050563698	0.985850518	0.521421228	1.141722516	0.970791746	1.395920285	-0.904044794	-0.188523866	-1.40399868	-0.504355064	0.057872111	-1.257492088	-0.496553247	-1.582091993	0.212917631
CAVIN2	1.358909354	1.566263326	0.477594406	1.325990657	1.009156154	0.246231655	-0.956399232	-0.122014567	-0.731996007	0.196829345	-0.233775579	-1.317052957	-1.072461899	-0.297128281	-1.450146375
EHD2	1.054587257	1.576128972	0.600289645	1.155028014	1.184103775	0.447775741	-0.060717589	-0.288550426	-1.085057942	0.200610131	-0.178030623	-0.731834248	-1.061440357	-1.13079765	-1.682094701
SLC16A14	0.630387169	1.698432732	0.912434851	1.758476011	0.793670897	0.42849722	-0.76188264	-0.383758478	-0.843393342	-1.180031612	0.115973332	-1.102410463	-0.250232955	-0.585964671	-1.230198051
ASZ1	-0.182817086	1.312518497	1.815058863	0.151824683	1.716719798	1.14977064	-0.661979546	-1.21590507	-0.370139699	-0.571382556	-0.661022776	-0.99303843	-0.771753858	-0.37921936	-0.338634099
LOC101928936	0.32943358	1.019603314	1.162346631	1.407072196	1.182947994	1.480433923	-0.640295314	-1.153892011	-1.080888701	-0.531521914	-0.065637787	-0.958534209	-0.75120665	-0.332210298	-1.067650754
LY6G6F-LY6G6D	-0.118500854	1.640027737	1.769111408	0.091464822	1.16710231	1.232414143	-0.561500227	-1.080685158	-0.576486499	-0.941767884	-0.05249806	-0.873431053	-0.671790026	-1.157513291	0.134052632
C19orf47	0.14168944	-0.083620099	3.046842035	1.244777682	-0.087645451	-0.894320411	-0.383438671	0.05199757	0.133553602	-0.37830609	-0.718818562	-0.667840629	-0.024303061	-0.920237136	-0.460330218
UQCR11	1.789397967	1.181380294	1.067551026	1.797935831	-0.471287637	0.494424954	-0.49185892	-0.619935767	-0.974910952	-0.362848363	-0.966000105	-0.234245393	-0.644754795	-1.119412533	-0.445435606
CDR2	-0.697031251	0.340631023	-0.415010441	0.174372092	2.425292757	1.933545206	-0.91509071	0.075651005	-0.959733042	-0.738310786	-0.018560283	-0.772203384	-0.463938858	0.491212626	-0.460825955
LINC01521	1.731693669	1.206017195	1.626270482	0.378634481	0.435599258	1.062166355	-0.513266028	-1.055066144	-0.980017082	-0.92444521	-0.971098509	-0.858669717	-0.660645344	-0.334532577	-0.142640828
ADO	-0.702830011	0.478426041	0.737683428	0.933947265	0.418372092	1.358632963	-0.394812764	-0.852475197	-0.77791883	-0.725423687	-0.769354408	-0.665653912	-0.496064367	-0.926952155	2.384423542
CDKN2D	-0.707624281	1.438625382	0.633608633	2.052046953	1.156549741	1.201073062	-0.305651329	-0.411274487	-0.776841943	-0.728795336	-0.769118326	-0.672203905	-0.4421598	-0.902963665	-0.765270701
LOC105373954	1.1344849	0.30504208	0.178036756	-0.66550835	0.289389571	3.123355195	-0.197418524	-0.649879292	-0.593237833	-0.552213773	-0.586603054	-0.504608598	-0.295108816	-0.402426531	-0.58330373
