Gene ID	HD1	HD2	HD3	HD4	HD5	HD6	1442 ETV6	1874 ETV6	3399 Phlike	3701 ETV6	4353 phlike	4370 ETV6	4395 ETV6	4894 Phlike	BALL10 ETV6
ANP32E	-0.615336722	-0.006122104	-0.318278068	-0.930877361	-1.14654252	-1.261355522	-0.692162433	1.464005033	-0.488092377	1.260124731	0.940262335	1.644841361	1.114814335	-0.505806064	-0.459474624
NBPF10	-0.688345564	-0.607227463	-0.335520442	-0.887570166	-0.750679745	-1.072344094	1.369680827	0.556178424	0.777235009	0.426893526	0.674113549	0.35581239	1.958948753	-1.775796298	-0.001378705
TMBIM6	0.342766142	-1.048067244	-0.895435337	-0.768961683	-0.818005766	-0.709064816	-0.101689375	0.218741374	2.589300814	0.917073612	0.057657562	-0.312697498	0.828641534	-1.094198935	0.793939616
NBPF19	-0.438242577	-0.474801287	-0.557060009	-0.679924189	-0.865977839	-0.76554057	1.775338094	0.613381175	0.817662298	0.564942906	0.433918766	-1.034132631	2.054422154	-1.189548557	-0.254437733
NBPF14	-0.915778012	-0.202168731	-0.244447245	-0.893961442	-1.067568073	-0.914522955	1.461319152	0.655553179	0.836783832	0.325973382	0.503291652	-0.515526092	2.120939321	-1.360838131	0.210950163
LOC124905415	-0.562612302	-1.277961439	0.30604601	-0.817476614	-0.730882131	-1.492588285	-0.105705248	0.534943789	2.363499552	0.005630935	-0.112539636	1.21594788	0.857640582	-0.538727459	0.354784367
ZNF853	-0.402800241	-0.287447479	-0.322161025	-0.518771293	-0.456446214	-0.513291653	0.790767122	0.037367359	2.173316447	0.105476611	-0.546237974	2.301281088	-0.651083016	-1.040843016	-0.669126716
LINC02941	-0.577916196	-0.448500222	-0.529648289	-0.324807679	-0.377920477	-0.414724308	0.632229103	0.040921838	2.210923813	0.016321539	-0.480670043	2.335559005	-0.888389153	-0.975492006	-0.217886925
H1-10	-1.037157533	-0.991967367	-0.843180033	-0.457370294	-0.04298685	-0.497505748	1.186849323	0.428977143	1.104972562	-0.611554482	-0.410541954	2.417085164	0.760248528	-0.997150865	-0.008717593
H4C5	-0.414096509	-0.654717608	-0.183407623	-0.969327721	-0.389045369	-1.451944765	0.553170668	-1.172549349	1.488569813	0.056430133	0.928006072	2.232303615	-0.230830778	-0.313453596	0.520893017
RPL41	-1.043394938	-0.39406161	-0.85073401	-0.136304812	-1.1349117	-1.027767812	0.220632064	-0.49214995	0.937110712	0.929494336	0.96988134	2.440366862	-0.770965792	-0.028137419	0.380942731
CCDC66	-0.550554245	-0.96690266	-1.212700425	-0.839836736	-0.331554646	-0.569033131	2.498103358	-0.211666112	0.46913087	-0.609029197	-0.111263345	0.107437072	1.657491493	-0.03902186	0.709399564
STRAP	-0.590148087	-0.168589896	-0.893882693	-0.931246648	-0.442869016	-1.290013468	0.520081529	-0.622203564	0.375240362	1.135921616	1.147538854	1.936055175	1.338863309	-0.796763366	-0.717984107
SARNP	0.047133209	-0.948862971	-0.447261819	-0.356054362	-0.760464319	-1.10266857	2.505639391	1.258667918	-0.621220381	-0.641417494	-0.914165162	1.034553332	0.457738664	0.041893374	0.446489188
DCUN1D5	-0.486032296	-0.991537603	-0.134076076	-0.555966221	-1.098170531	-0.987263517	2.163594412	0.920804729	0.503250513	-0.535485368	0.534507625	0.548225149	-0.788155175	-0.683888675	1.590193035
ZC3H14	-0.666532604	-0.294646189	-0.899444352	-0.429427015	-0.545163348	-0.219272626	2.642694009	0.483356865	1.049409652	-0.044075356	-0.795861482	-1.051807758	-0.81765134	1.058566246	0.529855298
JUP	0.097146302	-0.688967089	-0.85553137	-0.492605016	-0.527465263	-1.286234607	1.494280207	-0.141755225	1.914764262	0.239766966	-0.178128803	1.915404821	-0.545574791	-0.778435193	-0.166665203
LINC02237	-1.468147441	-1.416389224	-0.424304038	-0.870498846	-0.36160375	-0.637722299	1.106398507	0.513807486	0.647020714	-0.100732222	-0.752435173	2.121260241	1.080861498	0.117112434	0.445372114
RNVU1-19	-0.106836634	-0.604199255	-0.120832399	-0.604855482	-0.317934466	-1.017224707	0.580996226	-0.119896288	1.942645584	-0.336076444	-1.0202769	1.839634251	1.191857825	-1.417905243	0.11090393
PIK3CD	-0.760272719	-0.796661554	-0.526755942	-0.467551376	-0.735351998	-0.974032085	0.895571631	0.114862018	1.426083947	-0.644142211	-0.74053837	2.401836865	1.061622163	-0.302256058	0.047585689
FOXL1	-0.464837299	-0.10883564	-1.03474648	-0.174026367	-0.630385865	-0.743551401	1.52340867	-1.14853334	1.424040675	0.700519901	-0.015614071	2.044628518	-0.952909267	-0.648717635	0.229559601
GPR173	-0.738093438	-0.660979883	-1.008395593	-1.470308092	-0.371839653	-0.068090316	2.786526265	0.449188133	-0.600089578	-0.033698905	0.677844695	0.794422726	-0.262562865	0.051250611	0.454825893
HLA-B	-0.76833002	-0.849505439	-0.783625849	-0.45902988	-0.837832514	-1.137915885	1.207794394	0.471613185	1.144742725	0.075061398	0.179660079	1.230348455	1.975603054	-1.154942189	-0.293641513
HLA-C	-0.039682945	-0.382427435	-0.758162496	-1.427958705	-0.076817191	-0.648131869	1.007184563	0.127273689	0.851909897	-0.244730297	0.125607467	0.900979913	2.505361988	-1.03761984	-0.902786739
RHOJ	-1.227976007	-0.473742347	0.080155802	-0.649988947	-0.621713696	-0.1782253	0.923111282	-0.427455682	1.560519149	0.284805406	0.0576259	2.414880516	-1.182286941	-0.769673515	0.209964382
FBXL19	-0.633767722	-0.188789675	0.195498485	-0.541134966	-1.163680461	-0.167188868	-0.188894339	2.482690857	-0.37383344	-1.071581801	-0.646139134	1.652180153	1.049111536	-0.329600216	-0.074870408
LOC124904145	-0.550429514	-0.976038592	-0.13827665	-0.570293272	-0.925320648	-0.995006521	0.924628068	-0.226514521	1.848371628	-0.014370385	-0.387922587	1.659698654	1.545267587	-0.932551345	-0.261241903
PLA2G2C	0.33003606	-0.526152645	-0.817956728	-0.58928679	-1.004244015	-0.659981337	1.741704984	0.254921425	0.622724307	-0.188762963	0.972235258	0.857387996	1.573785817	-1.584467054	-0.981944315
CALCOCO2	-1.124034106	-1.035867952	-0.177278322	-0.964980549	-0.757569097	-0.672845591	1.926016085	-0.2453032	1.17191265	-0.522280801	-0.454291354	1.66063018	1.064231181	-0.210829174	0.342490051
LINC02073	-1.452760679	0.065141931	-0.009322131	-0.740626894	-0.713127822	-0.397196269	0.964480183	-0.521325633	1.582774578	-0.027138371	0.074313008	2.485612846	-0.691214555	-0.543115811	-0.076494382
TMEM26	-0.83961955	-0.391379951	-0.495712675	-0.058121517	-1.364618107	-0.204057411	2.340610593	-0.852819663	0.075927711	0.156341129	-1.349803539	0.833192099	1.393729947	0.313812492	0.442518443
MB	-1.188825454	-0.614757741	-0.984550024	-0.408042041	-0.850914066	-0.16139358	1.046877529	1.779385345	-0.31247541	-0.412039684	0.699599644	0.009901068	2.223126347	-0.312030829	-0.513861104
TRC-GCA2-2	-0.449457191	-0.383798865	-0.015312759	-0.292458503	-0.254372241	-1.188300176	0.185390442	-0.296462566	1.937935055	-0.122422916	-0.294362211	2.297014043	0.628227627	-1.547985411	-0.203634325
NBPF20	-0.599205915	-0.012932401	-0.573125415	-1.096464189	-0.858466135	-0.889457944	1.472949243	0.696605733	0.912640916	0.815666237	0.314910067	-0.696808331	2.118627234	-0.986465258	-0.618473842
TRT-TGT4-1	-0.351993489	-1.012201422	-0.192216009	-0.012294294	-0.475724724	-1.040994111	0.505680792	-0.509351618	1.805749516	0.342649578	-0.234380326	2.202801644	0.206032906	-1.591655364	0.357896921
LOC124904139	-0.732755203	-1.022621885	-0.39913212	-0.486678534	-0.96534202	-1.319929412	0.929163722	-0.00599017	1.729882639	-0.021253685	-0.024103953	1.437566463	1.734961809	-0.583401867	-0.270365785
CLSPN	-0.745044334	-0.416503349	-0.351651148	-1.409769076	-0.721141769	-0.417239259	2.500548613	-0.762611075	0.768345335	-0.111122346	-0.698284984	1.266668078	0.313191069	0.907681931	-0.123067686
PDE7A	-0.756883893	-0.575591888	-0.636815304	-1.350000382	-1.203673873	-0.401419926	2.335538714	-0.141381749	0.504652656	-0.228928447	-0.117005647	0.373605542	1.682206262	-0.166381695	0.682079631
LOC101928166	-0.18586928	-0.863400778	-0.785779572	-1.724223807	-0.287885561	-1.655313856	-0.168114903	0.212858865	1.350021102	-0.256322692	1.297680699	0.665353848	1.528044974	0.403245324	0.469705637
LOC124904138	-0.819490435	-0.788585983	-0.267006271	-0.47336587	-0.962343488	-1.313772337	1.099448573	-0.11890306	1.752634128	-0.017989329	-0.184756082	1.325163378	1.76059717	-0.698991885	-0.292638509
ARFGAP3	-0.675215607	-1.228084726	-0.92851353	-0.729710178	-0.405471833	-0.913721413	2.185005468	-0.263118498	0.795072972	0.278198172	0.643574165	0.681577744	1.562592796	-0.136162872	-0.866022661
AIFM2	-0.562025126	-1.39745514	-1.235890419	-0.964475132	-0.357521718	0.258509841	1.978141001	0.142694956	1.310950728	0.398833698	0.507881788	1.137753705	-1.148169318	-0.47890041	0.409671546
CTBP1	-0.529624535	-0.55161498	-0.881875151	-0.170085221	-0.766614082	-0.386667829	0.868694047	-0.532362719	1.616301753	0.030780488	-0.385727108	2.695201484	-0.561710174	-0.665443132	0.220747159
WDR74	-0.301044539	-0.85422081	-0.193459133	-0.437370639	-0.752733264	-1.091727882	0.761021279	-0.526882949	2.153202441	0.285629789	-0.277339494	2.115955625	0.358674512	-0.908462253	-0.331242683
RNU2-1	-0.54128998	-1.013971729	-0.371533492	-0.484143454	-0.831074379	-1.35068749	1.150549752	-0.038610002	1.725069093	-0.142205812	-0.098847775	1.387371589	1.702757115	-0.68517556	-0.408207878
LOC124904140	-0.601434206	-0.893363917	-0.337161651	-0.394463786	-1.038933099	-1.41626136	0.973638804	-0.111066561	1.735972275	-0.074787125	-0.044358886	1.369605607	1.764276279	-0.66802338	-0.263638994
LOC124904144	-0.698317819	-0.773148333	-0.329880036	-0.566894359	-0.935901247	-1.290844522	1.040196799	-0.112021488	1.714813111	0.117679986	-0.255836244	1.354824365	1.830990947	-0.688287945	-0.407373215
H4C8	0.089534984	-0.481858068	-0.205269233	-0.954007919	-0.594963098	-1.503934795	-0.945100521	0.60001817	1.372807105	-0.801225075	1.390189396	1.728097207	0.609947192	0.580913479	-0.885148824
STAG3	-0.973092438	-0.380062849	0.1247807	-0.76176164	-0.665967194	-0.521439598	2.30658383	0.006397099	1.066026357	0.35126189	-0.64448385	1.763111305	-1.069268486	-0.591477161	-0.010607966
CAMK1D	-0.718726936	-0.620562074	-0.929233436	-0.927851472	-0.894406617	-0.6225124	2.347557341	-0.032218093	0.346225715	-0.300072048	-0.274453336	0.146801131	2.00048284	-0.114757244	0.59372663
TRQ-TTG3-1	-0.136512127	-0.308400853	-0.107938861	-0.970858114	-0.611798912	-0.749781607	-0.633207014	0.409544249	0.823324125	0.41528084	-0.260043677	2.532223926	1.137639538	-1.669062614	0.129591102
GSKIP	-0.334273032	-0.606660114	-0.244624505	-0.972498228	-0.821987973	-0.819867358	1.223905697	0.6725841	1.256040129	-0.452571204	-0.571761361	-0.234965093	2.404204734	-1.006366469	0.508840678
RHNO1	-0.240191141	-0.930256153	-0.271758567	-1.722991867	-1.176702516	-0.402315418	0.721514539	-0.552538493	-0.315814981	1.194763607	2.12734416	0.049560909	0.951211253	-0.235790909	0.803965578
LOC124904135	-0.643281864	-1.06822467	-0.183850736	-0.381662613	-0.758473384	-1.551829041	1.102170749	-0.024640917	1.728745998	-0.048250693	-0.176895614	1.245622638	1.718320607	-0.681047094	-0.276703364
LOC124904142	-0.594485499	-0.899464814	-0.242727875	-0.499521681	-0.886873966	-1.405593124	1.093367007	-0.114195449	1.711389481	-0.099466819	-0.148280323	1.377737515	1.766458564	-0.62680779	-0.431535227
UHRF1	-0.744640838	-1.158838049	-0.869525725	-0.425126988	-0.146265611	-0.078196586	-0.49416785	1.275742034	-0.365937867	-0.195094747	0.680523205	2.69791377	0.88720127	-0.529364737	-0.53422128
LOC105371237	-0.229191936	-0.316651097	-0.845799992	-1.107823184	-0.923390809	-0.77758882	2.020958802	-0.19275102	-0.678323493	0.289585032	-0.354264069	1.591864233	1.75773638	-0.168240761	-0.066119267
LOC124904146	-0.459624401	-0.933881102	-0.288158864	-0.606919453	-0.864537893	-1.436469287	1.016430049	-0.041144869	1.732846742	-0.049423292	-0.185880369	1.318811069	1.809801044	-0.669047312	-0.342802062
LOC124904136	-0.612820444	-0.919358097	-0.348017081	-0.489767931	-0.706975064	-1.391961998	1.085527584	-0.06222811	1.768266142	-0.137010897	-0.097143754	1.358845576	1.746127762	-0.730961252	-0.462522435
LOC124903830	-0.956624958	-0.857534543	-0.775332446	-0.610059963	-0.732905441	-0.435018355	2.087726698	0.037560432	-0.070281248	-1.019075993	-0.10186595	1.029670077	1.923653542	-0.184247686	0.664335832
LOC124904141	-0.539893508	-0.86911497	-0.110412178	-0.497333581	-1.01115832	-1.415615554	0.952614805	-0.097351561	1.759629728	-0.045352835	-0.242460484	1.355064471	1.784545437	-0.667928465	-0.355232985
ANTXRL	-1.195123118	-0.837309981	-0.549875965	-0.885076814	-0.394625686	-0.054808277	2.197675687	-0.136196572	0.614152162	-1.617543087	0.611767996	0.788823078	1.204950533	0.516285951	-0.263095909
PPP2CA	-0.252506842	-1.136656848	0.081996998	-1.55977729	-0.911269133	-0.858223095	0.543785297	1.413005866	0.095579242	0.879137521	0.125226509	1.661450492	-1.281975693	1.060289975	0.139936999
FLT4	-1.262631257	-0.373060068	-0.262790379	-0.643204657	-0.801045893	-0.824248154	-0.342215571	-0.368410144	1.436189401	-0.527610412	0.558675954	2.567904607	0.950226851	-0.218078156	0.110297878
LOC124904137	-0.584227048	-0.791823246	-0.267391373	-0.624743764	-0.834757175	-1.446848246	1.012867769	-0.078136397	1.770301366	-0.127991089	-0.062806147	1.422499439	1.710550945	-0.693083683	-0.404411352
LOC124904143	-0.359894953	-1.07850824	-0.233284396	-0.591583758	-0.916872462	-1.341074089	0.964053255	-0.05441154	1.777726412	-0.08387007	-0.219565026	1.423788184	1.713626736	-0.661364284	-0.338765769
ARPP21	-1.113035996	0.323457006	-1.225053884	-0.612550206	-0.743317413	-0.989530822	0.573534232	0.539705013	0.871531284	0.659505395	-1.133492529	2.295738687	0.221985604	-0.45660041	0.78812404
TNFRSF1B	-0.475748767	-1.062928336	-0.110498784	-0.903919025	-1.155946475	-0.690928021	-0.666336359	0.633763052	1.578760894	-0.192186306	0.377330692	2.224890536	1.032996403	-0.67717305	0.087923546
EEF1A1	-1.306008736	-0.254756186	-0.503216603	-0.31328676	0.06159334	-0.776315675	0.205234402	-0.946158047	1.935795727	0.565215895	0.583975112	1.966668811	-0.841719491	-0.988234998	0.611213208
FAM182A	-0.852451448	-0.679977222	-0.497539201	-1.040596201	-0.975835978	-0.790149371	2.212014816	-0.208095229	0.97951046	-0.515349673	-0.213150735	0.96959934	1.595297892	-0.31719165	0.333914199
CCND2	-0.502621508	-0.398709868	-0.514094298	-1.331255225	-0.155536387	-0.503797758	-1.13596866	-0.403614787	2.482110572	0.018865224	1.078553188	1.22008004	-0.714987119	0.681074815	0.179901772
LOC105376959	-0.945907058	-1.182255347	-0.232618881	-0.467008346	-0.581516922	-0.642823887	0.485622228	0.708523567	2.10155422	-0.266333233	-0.186649508	2.158648065	0.202205504	-0.749281597	-0.402158805
CDCA7L	-0.553307658	-0.688648743	-0.524654224	-1.222221107	-0.892295586	-0.339544483	2.722966611	0.271900215	0.72141189	0.083329875	-0.087654463	-0.420003485	-0.461775767	-0.066041685	1.456538609
PDAP1	-0.277866487	-0.363070532	-0.343614051	-0.385624167	-0.652576575	-1.573851484	0.825927413	-0.557256389	1.625163214	0.196999921	-0.364354238	2.421545948	0.134282785	-0.933998568	0.248293209
FAM182B	-0.797917835	-0.658472786	-0.57257998	-1.005052416	-0.940646884	-0.86807132	2.207066206	-0.291479432	1.116925202	-0.560609008	-0.132324907	0.902275857	1.517288571	-0.344349376	0.427948109
TPX2	0.146201885	-0.378220425	-0.385690525	-1.208073059	-0.972262119	-1.164152074	1.531337879	-0.334408559	1.552253361	-1.037640301	1.224882987	1.42239763	0.140228618	0.116602249	-0.653457548
PGM1	-1.344551615	-0.490707363	-0.98628817	-0.503527083	-0.406131471	-0.270386031	2.552293269	0.964094993	-0.898480319	0.153693999	-0.419708668	0.477081888	1.332592139	-0.180244382	0.020268814
SNORD3D	-0.562812205	-0.732686795	0.104188741	-0.615543989	-0.722820233	-1.379043233	1.362376267	-0.657112462	1.393887527	-0.359128028	-0.379916432	1.274678594	1.543185375	-1.079576421	0.810323294
LOC100132077	-0.646844585	-0.475098301	-0.788531305	-1.189373165	-0.632983905	-0.930520767	2.270856789	-0.350836839	0.846083221	-0.687577345	-0.218915511	0.799841346	1.563172198	-0.201626078	0.642354248
